Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type, Item_MRP ,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size_Cleaned,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDK36,7.09,Low Fat,0.007215314,Baking Goods,47.6,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.102
FDR55,12.15,Regular,0.132083542,Fruits and Vegetables,189.59,OUT046,1997,Small,Tier 1,Supermarket Type1,3403.5696
FDV16,7.75,Regular,0.083399788,Frozen Foods,34.56,OUT017,2007,Medium,Tier 2,Supermarket Type1,441.4254
FDS31,13.22,Regular,0.043978369,Fruits and Vegetables,178.43,OUT027,1985,Medium,Tier 3,Supermarket Type3,2526.0452
NCK06,5.03,Low Fat,0.008639333,Household,122.28,OUT013,1987,High,Tier 3,Supermarket Type1,2059.9852
FDN03,9.8,Regular,0.015089965,Meat,249.64,OUT046,1997,Small,Tier 1,Supermarket Type1,1001.3632
NCT30,13.38,Low Fat,0.140582485,Household,47.17,OUT019,1985,Small,Tier 1,Grocery Store,141.8154
FDC50,15.85,Low Fat,0.228469522,Canned,93.31,OUT010,1998,Medium,Tier 3,Grocery Store,285.6282
FDE11,17.7,Regular,0,Starchy Foods,183.59,OUT035,2004,Small,Tier 2,Supermarket Type1,7033.5112
FDM03,12.65,Low Fat,0.123007534,Meat,106.09,OUT035,2004,Small,Tier 2,Supermarket Type1,2679.845
NCP05,19.6,Low Fat,0,Health and Hygiene,150.3,OUT018,2009,Medium,Tier 3,Supermarket Type2,2580.6408
FDJ41,6.85,Low Fat,0.02288328,Frozen Foods,261.26,OUT046,1997,Small,Tier 1,Supermarket Type1,2878.2534
FDR47,11.35,Low Fat,0.087045086,Breads,196.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,6242.5408
FDK36,7.09,Low Fat,0.007256127,Baking Goods,50.4,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.2238
FDQ23,6.55,Low Fat,0.024664556,Breads,103.33,OUT017,2007,Medium,Tier 2,Supermarket Type1,2050.664
NCK42,13.38,Low Fat,0.013056494,Household,215.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,7334.4528
NCO06,19.25,Low Fat,0.180820798,Household,35.96,OUT010,1998,Medium,Tier 3,Grocery Store,67.9116
FDV24,5.64,Low Fat,0.103693024,Baking Goods,149.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,2546.685
FDK40,7.04,Low Fat,0.021849398,Frozen Foods,262.09,OUT046,1997,Small,Tier 1,Supermarket Type1,4207.856
FDT23,7.72,Regular,0.074731477,Breads,77.6,OUT046,1997,Small,Tier 1,Supermarket Type1,1947.465
FDB50,13,Low Fat,0.154244343,Canned,78,OUT018,2009,Medium,Tier 3,Supermarket Type2,1168.479
NCF43,8.51,Low Fat,0,Household,142.15,OUT049,1999,Medium,Tier 1,Supermarket Type1,1717.764
FDU26,13.43,Regular,0.042412572,Dairy,119.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,1549.3166
FDC10,9.8,Regular,0.072990979,Snack Foods,121.61,OUT049,1999,Medium,Tier 1,Supermarket Type1,1566.6274
FDK51,19.85,Low Fat,0.005243282,Dairy,266.19,OUT049,1999,Medium,Tier 1,Supermarket Type1,3179.8608
FDV09,12.1,Low Fat,0.034427577,Snack Foods,146.67,OUT010,1998,Medium,Tier 3,Grocery Store,296.9468
DRL37,15.5,Low Fat,0.053455158,Soft Drinks,43.68,OUT049,1999,Medium,Tier 1,Supermarket Type1,562.601
FDQ45,9.5,Regular,0,Snack Foods,182.36,OUT010,1998,Medium,Tier 3,Grocery Store,1102.5648
FDO45,12.99,Regular,0.037768989,Snack Foods,88.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,1845.5976
FDP27,8.16,Low Fat,0.119428052,Meat,190.85,OUT035,2004,Small,Tier 2,Supermarket Type1,2466.789
NCE07,8.18,Low Fat,0.013183517,Household,143.12,OUT018,2009,Medium,Tier 3,Supermarket Type2,1843.6002
FDL26,12.31,Low Fat,0.072838381,Canned,155.3,OUT027,1985,Medium,Tier 3,Supermarket Type3,5141.3076
FDL09,19.6,Regular,0.128235131,Snack Foods,169.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1174.4712
NCA17,20.6,Low Fat,0,Health and Hygiene,148.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2684.5056
NCL29,9.7,Low Fat,0.114583922,Health and Hygiene,156.46,OUT017,2007,Medium,Tier 2,Supermarket Type1,2535.3664
FDS20,8.85,Low Fat,0.054171606,Fruits and Vegetables,183.93,OUT017,2007,Medium,Tier 2,Supermarket Type1,2918.8672
NCD19,8.93,Low Fat,0,Household,53.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,552.614
FDF05,17.5,Low Fat,0.026912667,Frozen Foods,261.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,3418.883
FDI44,16.1,Low Fat,0.100799828,Fruits and Vegetables,78.43,OUT017,2007,Medium,Tier 2,Supermarket Type1,1467.4232
NCY29,13.65,Low Fat,0.077390746,Health and Hygiene,54.69,OUT045,2002,Medium,Tier 2,Supermarket Type1,679.116
FDC60,5.43,Regular,0.191603334,Baking Goods,87.05,OUT010,1998,Medium,Tier 3,Grocery Store,88.5514
DRL49,13.15,Low Fat,0.056543464,Soft Drinks,140.58,OUT045,2002,Medium,Tier 2,Supermarket Type1,427.4436
FDT39,6.26,Regular,0.009923732,Meat,152.84,OUT017,2007,Medium,Tier 2,Supermarket Type1,3778.415
FDE50,19.7,Regular,0.016238512,Canned,186.46,OUT045,2002,Medium,Tier 2,Supermarket Type1,5069.4012
FDK25,12.77,Regular,0.156072361,Breakfast,169.35,OUT027,1985,Medium,Tier 3,Supermarket Type3,3874.2902
DRK13,11.8,Low Fat,0.115636723,Soft Drinks,199.71,OUT018,2009,Medium,Tier 3,Supermarket Type2,3571.3512
DRD24,13.85,Low Fat,0.030920531,Soft Drinks,141.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,1701.7848
FDX60,14.35,Low Fat,0.080594133,Baking Goods,81,OUT046,1997,Small,Tier 1,Supermarket Type1,1757.712
FDT40,12.87,Low Fat,0.167725251,Frozen Foods,128.37,OUT019,1985,Small,Tier 1,Grocery Store,127.1678
FDJ20,20.7,Regular,0.100378096,Fruits and Vegetables,122.44,OUT045,2002,Medium,Tier 2,Supermarket Type1,1238.388
FDI58,7.64,Regular,0.070847865,Snack Foods,91.71,OUT045,2002,Medium,Tier 2,Supermarket Type1,2050.664
FDX04,19.6,Regular,0.04163619,Frozen Foods,47.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1150.5024
FDK55,18.5,Low Fat,0.025756826,Meat,87.22,OUT035,2004,Small,Tier 2,Supermarket Type1,802.9548
NCH06,12.3,Low Fat,0.076987408,Household,247.95,OUT017,2007,Medium,Tier 2,Supermarket Type1,3202.498
NCG54,12.1,Low Fat,0.079968115,Household,170.81,OUT045,2002,Medium,Tier 2,Supermarket Type1,4619.9862
FDN46,7.21,Regular,0.14460413,Snack Foods,102.63,OUT035,2004,Small,Tier 2,Supermarket Type1,2153.1972
FDS46,17.6,Regular,0.047524635,Snack Foods,118.28,OUT017,2007,Medium,Tier 2,Supermarket Type1,715.0692
FDM24,6.14,Regular,0.079776075,Baking Goods,152.84,OUT017,2007,Medium,Tier 2,Supermarket Type1,1964.7758
NCC07,19.6,Low Fat,0.023988387,Household,104.6,OUT049,1999,Medium,Tier 1,Supermarket Type1,1262.3568
DRG51,12.1,Low Fat,0.011563024,Dairy,164.95,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364
NCS53,14.5,Low Fat,0.089703476,Health and Hygiene,158.36,OUT013,1987,High,Tier 3,Supermarket Type1,1109.2228
FDC33,8.96,Regular,0.06893834,Fruits and Vegetables,196.48,OUT046,1997,Small,Tier 1,Supermarket Type1,2561.9984
FDD14,20.7,Low Fat,0.169667145,Canned,183.53,OUT013,1987,High,Tier 3,Supermarket Type1,4426.2384
FDJ52,7.15,Low Fat,0.017814518,Frozen Foods,159.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,2246.4092
FDV33,9.6,Regular,0.027399064,Snack Foods,258.33,OUT045,2002,Medium,Tier 2,Supermarket Type1,4133.2864
FDY33,14.5,Regular,0.097398254,Snack Foods,157.43,OUT045,2002,Medium,Tier 2,Supermarket Type1,3978.155
FDE28,12.87,Regular,0.232072674,Frozen Foods,229.47,OUT019,1985,Small,Tier 1,Grocery Store,460.7336
FDA57,18.85,Low Fat,0.039723999,Snack Foods,41.05,OUT045,2002,Medium,Tier 2,Supermarket Type1,918.804
DRC27,13.8,Low Fat,0.05843112,Dairy,243.68,OUT017,2007,Medium,Tier 2,Supermarket Type1,1965.4416
FDA27,20.35,Regular,0.030990354,Dairy,256.37,OUT045,2002,Medium,Tier 2,Supermarket Type1,1022.6688
FDO57,20.75,Low Fat,0.108689606,Snack Foods,159.36,OUT035,2004,Small,Tier 2,Supermarket Type1,4492.8184
FDZ44,8.19,Low Fat,0.038721734,Fruits and Vegetables,115.88,OUT035,2004,Small,Tier 2,Supermarket Type1,1523.3504
FDA58,9.4,Low Fat,0.103664897,Snack Foods,233.69,OUT013,1987,High,Tier 3,Supermarket Type1,1414.1592
DRB01,7.39,Low Fat,0.082367244,Soft Drinks,187.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,1518.024
FDX45,16.75,Low Fat,0.105282932,Snack Foods,156.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,2816.334
FDY12,9.8,Regular,0.141406394,Baking Goods,50,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.008
NCZ29,15,Low Fat,0.071516201,Health and Hygiene,127.74,OUT045,2002,Medium,Tier 2,Supermarket Type1,1761.7068
FDF09,6.22,Low Fat,0.012198395,Fruits and Vegetables,37.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,186.424
FDR48,11.65,Low Fat,0.132248069,Baking Goods,150.5,OUT017,2007,Medium,Tier 2,Supermarket Type1,3187.8504
NCH29,5.51,Low Fat,0.034445116,Health and Hygiene,95.87,OUT013,1987,High,Tier 3,Supermarket Type1,2153.1972
FDN08,7.72,Regular,0.088543868,Fruits and Vegetables,117.55,OUT045,2002,Medium,Tier 2,Supermarket Type1,824.9262
NCN30,16.35,Low Fat,0.016979063,Household,97.44,OUT013,1987,High,Tier 3,Supermarket Type1,772.328
FDS12,12.28,Low Fat,0.304859104,Baking Goods,125.44,OUT019,1985,Small,Tier 1,Grocery Store,755.0172
FDN58,13.8,Regular,0.056825065,Snack Foods,231,OUT013,1987,High,Tier 3,Supermarket Type1,4633.968
FDF50,4.91,Low Fat,0.1175683,Canned,197.68,OUT045,2002,Medium,Tier 2,Supermarket Type1,2956.152
NCR54,16.35,Low Fat,0.090562192,Household,198.21,OUT046,1997,Small,Tier 1,Supermarket Type1,1964.11
FDQ21,21.25,Low Fat,0.019423232,Snack Foods,120.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3150.5656
FDA13,15.85,Low Fat,0.078489577,Canned,39.95,OUT013,1987,High,Tier 3,Supermarket Type1,645.1602
FDY47,8.6,Regular,0.054706408,Breads,128.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,1428.141
NCF31,9.13,Low Fat,0.051804278,Household,150.2,OUT013,1987,High,Tier 3,Supermarket Type1,1821.6288
FDL44,13.22,Low Fat,0.012215675,Fruits and Vegetables,162.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,5500.8396
FDT51,12.82,Regular,0.019117392,Meat,110.65,OUT019,1985,Small,Tier 1,Grocery Store,223.7088
NCF31,13.38,Low Fat,0.090778148,Household,153.1,OUT019,1985,Small,Tier 1,Grocery Store,303.6048
NCK31,10.9,Low Fat,0.027047774,Others,50.67,OUT046,1997,Small,Tier 1,Supermarket Type1,666.4658
DRM47,9.3,Low Fat,0.043874493,Hard Drinks,191.08,OUT045,2002,Medium,Tier 2,Supermarket Type1,1337.5922
FDL40,17.7,Low Fat,0.011603492,Frozen Foods,97.74,OUT013,1987,High,Tier 3,Supermarket Type1,1158.492
FDT34,9.3,Low Fat,0.291826616,Snack Foods,107.2,OUT010,1998,Medium,Tier 3,Grocery Store,420.7856
FDP40,4.56,Regular,0.034350673,Frozen Foods,112.75,OUT035,2004,Small,Tier 2,Supermarket Type1,1789.6704
NCJ31,19.2,Low Fat,0.183686937,Others,241.82,OUT017,2007,Medium,Tier 2,Supermarket Type1,1687.1372
FDT50,13.43,Regular,0.107714834,Dairy,97.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544
FDG21,17.35,Regular,0.146299902,Seafood,150.41,OUT046,1997,Small,Tier 1,Supermarket Type1,3894.93
FDM03,12.65,Low Fat,0.123531974,Meat,108.29,OUT018,2009,Medium,Tier 3,Supermarket Type2,535.969
FDO11,8,Regular,0.030311951,Breads,247.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,6972.2576
FDX26,17.7,Low Fat,0.087986599,Dairy,181.43,OUT045,2002,Medium,Tier 2,Supermarket Type1,2918.8672
FDF39,14.85,Regular,0.019590769,Dairy,261.59,OUT018,2009,Medium,Tier 3,Supermarket Type2,2366.919
NCR53,12.15,Low Fat,0.242768664,Health and Hygiene,226.54,OUT010,1998,Medium,Tier 3,Grocery Store,225.0404
FDL57,15.1,Regular,0.067064128,Snack Foods,257.93,OUT035,2004,Small,Tier 2,Supermarket Type1,6458.26
FDO44,12.6,Low Fat,0.087630566,Fruits and Vegetables,110.02,OUT045,2002,Medium,Tier 2,Supermarket Type1,3205.1612
NCY41,16.75,Low Fat,0.075721301,Health and Hygiene,34.35,OUT035,2004,Small,Tier 2,Supermarket Type1,1042.6428
FDL08,10.8,Low Fat,0.049719026,Fruits and Vegetables,246.71,OUT046,1997,Small,Tier 1,Supermarket Type1,5145.3024
NCV30,20.2,Low Fat,0.065932087,Household,64.85,OUT046,1997,Small,Tier 1,Supermarket Type1,948.765
FDL45,12.99,Low Fat,0.037505332,Snack Foods,126.27,OUT027,1985,Medium,Tier 3,Supermarket Type3,4255.7936
FDK09,15.2,Low Fat,0.092282353,Snack Foods,227.24,OUT017,2007,Medium,Tier 2,Supermarket Type1,4122.6336
FDQ58,7.32,Low Fat,0.01532563,Snack Foods,153.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,459.402
FDA28,16.1,Regular,0.047996608,Frozen Foods,127.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.1982
FDA02,13.43,Regular,0.052040539,Dairy,143.18,OUT019,1985,Small,Tier 1,Grocery Store,288.9572
NCC54,17.75,Low Fat,0.097629611,Health and Hygiene,240.42,OUT013,1987,High,Tier 3,Supermarket Type1,4579.3724
FDA55,17.2,Regular,0.057221177,Fruits and Vegetables,225.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,2460.7968
NCJ43,6.64,Low Fat,0.045308629,Household,173.14,OUT010,1998,Medium,Tier 3,Grocery Store,348.8792
NCB19,13.38,Low Fat,0.158096128,Household,86.39,OUT019,1985,Small,Tier 1,Grocery Store,85.8882
FDA19,7.52,Low Fat,0.055127499,Fruits and Vegetables,128.3,OUT046,1997,Small,Tier 1,Supermarket Type1,3983.4814
FDD35,12.15,Low Fat,0.025842905,Starchy Foods,119.84,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDK08,9.2,Regular,0.122802943,Fruits and Vegetables,100.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,1113.2176
FDN27,12.82,Low Fat,0.039370913,Meat,116.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,3866.9664
NCC19,13.38,Low Fat,0.096411426,Household,192.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,4633.968
FDL16,12.85,Low Fat,0.16871476,Frozen Foods,47.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1071.938
NCL54,13.38,Low Fat,0.082353076,Household,176.91,OUT027,1985,Medium,Tier 3,Supermarket Type3,4202.5296
FDR33,7.31,Low Fat,0.026830586,Snack Foods,108.06,OUT049,1999,Medium,Tier 1,Supermarket Type1,2087.283
FDD52,18.25,Regular,0.183260221,Dairy,108.56,OUT035,2004,Small,Tier 2,Supermarket Type1,1208.427
FDV33,9.6,Regular,0.027386122,Snack Foods,259.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,4649.9472
FDF21,10.3,Regular,0,Fruits and Vegetables,191.15,OUT035,2004,Small,Tier 2,Supermarket Type1,1707.777
FDM56,16.7,Low Fat,0,Fruits and Vegetables,109.19,OUT018,2009,Medium,Tier 3,Supermarket Type2,545.956
FDB12,11.15,Regular,0.105287746,Baking Goods,103.26,OUT035,2004,Small,Tier 2,Supermarket Type1,2388.8904
FDI48,11.85,Regular,0,Baking Goods,51.27,OUT035,2004,Small,Tier 2,Supermarket Type1,410.1328
FDH09,12.6,Low Fat,0.05616476,Seafood,51.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,473.3838
FDQ36,7.86,Regular,0,Baking Goods,38.38,OUT046,1997,Small,Tier 1,Supermarket Type1,932.12
FDY16,18.35,Regular,0.092150005,Frozen Foods,184.83,OUT013,1987,High,Tier 3,Supermarket Type1,3872.9586
NCM43,13.85,Low Fat,0.01938106,Others,164.32,OUT027,1985,Medium,Tier 3,Supermarket Type3,5546.114
FDF59,12.5,Low Fat,0.071534226,Starchy Foods,124.9,OUT018,2009,Medium,Tier 3,Supermarket Type2,1771.028
NCR38,17.25,Low Fat,0.113497001,Household,253.47,OUT035,2004,Small,Tier 2,Supermarket Type1,755.0172
FDY13,12.1,Low Fat,0.030121709,Canned,78.07,OUT035,2004,Small,Tier 2,Supermarket Type1,2220.443
FDC40,16,Regular,0.065051586,Dairy,76.2,OUT035,2004,Small,Tier 2,Supermarket Type1,1090.5804
FDT11,5.94,Regular,0.029538509,Breads,189.46,OUT017,2007,Medium,Tier 2,Supermarket Type1,1877.556
FDT59,13.65,Low Fat,0.015976249,Breads,230.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,2994.7684
NCU54,8.88,Low Fat,0.098622378,Household,208.43,OUT046,1997,Small,Tier 1,Supermarket Type1,5452.902
FDG34,11.5,Regular,0.062885197,Snack Foods,106.73,OUT010,1998,Medium,Tier 3,Grocery Store,542.627
FDQ36,7.86,Regular,0.162461219,Baking Goods,39.28,OUT017,2007,Medium,Tier 2,Supermarket Type1,857.5504
DRZ11,8.85,Regular,0.112840108,Soft Drinks,122.04,OUT049,1999,Medium,Tier 1,Supermarket Type1,1238.388
DRH23,11.4,Low Fat,0.298205272,Hard Drinks,55.76,OUT019,1985,Small,Tier 1,Grocery Store,110.5228
FDT55,13.6,Regular,0.043902087,Fruits and Vegetables,157.09,OUT017,2007,Medium,Tier 2,Supermarket Type1,5522.811
NCV53,8.27,Low Fat,0.018797945,Health and Hygiene,241.29,OUT013,1987,High,Tier 3,Supermarket Type1,5512.824
FDQ33,12.99,Low Fat,0,Snack Foods,151.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,4815.0656
NCJ54,9.9,Low Fat,0.060017128,Household,230.86,OUT013,1987,High,Tier 3,Supermarket Type1,4414.9198
FDY16,12.87,Regular,0.16147714,Frozen Foods,186.23,OUT019,1985,Small,Tier 1,Grocery Store,1106.5596
NCN07,18.5,Low Fat,0.033944698,Others,129.93,OUT046,1997,Small,Tier 1,Supermarket Type1,1054.6272
FDO01,21.1,Regular,0.020803054,Breakfast,129.8,OUT018,2009,Medium,Tier 3,Supermarket Type2,1284.994
FDP32,6.65,Low Fat,0.08816538,Fruits and Vegetables,126.87,OUT017,2007,Medium,Tier 2,Supermarket Type1,1780.3492
NCN07,18.5,Low Fat,0.034082974,Others,130.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,1977.426
DRN47,11.4,Low Fat,0.016745264,Hard Drinks,180.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,3056.022
NCM18,13,Low Fat,0.083009876,Household,61.12,OUT045,2002,Medium,Tier 2,Supermarket Type1,2352.9372
FDD40,13.43,Regular,0.014721719,Dairy,193.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,5195.2374
FDW47,15,Low Fat,0.046375227,Breads,122.84,OUT046,1997,Small,Tier 1,Supermarket Type1,731.0484
FDI45,13.1,Low Fat,0.037639672,Fruits and Vegetables,175.61,OUT049,1999,Medium,Tier 1,Supermarket Type1,1050.6324
FDJ46,11.1,Low Fat,0.04500603,Snack Foods,174.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,2101.2648
FDD38,16.75,Regular,0.013711274,Canned,100.27,OUT010,1998,Medium,Tier 3,Grocery Store,203.7348
FDS37,7.66,Low Fat,0.032009653,Canned,117.25,OUT045,2002,Medium,Tier 2,Supermarket Type1,2432.8332
FDY60,10.5,Regular,0.026424424,Baking Goods,145.21,OUT045,2002,Medium,Tier 2,Supermarket Type1,3739.1328
FDP13,8.1,Regular,0.134870732,Canned,41.95,OUT018,2009,Medium,Tier 3,Supermarket Type2,199.74
FDM28,15.7,Low Fat,0.045295529,Frozen Foods,181.37,OUT045,2002,Medium,Tier 2,Supermarket Type1,1977.426
FDY33,14.5,Regular,0.097750937,Snack Foods,159.73,OUT017,2007,Medium,Tier 2,Supermarket Type1,5728.5432
NCM54,17.7,Low Fat,0.05089667,Household,125.57,OUT013,1987,High,Tier 3,Supermarket Type1,1398.8458
FDK04,7.36,Low Fat,0.052312034,Frozen Foods,58.56,OUT046,1997,Small,Tier 1,Supermarket Type1,801.6232
NCI42,18.75,Low Fat,0.010363586,Household,207.2,OUT035,2004,Small,Tier 2,Supermarket Type1,1667.1632
FDF45,18.2,Regular,0.012254429,Fruits and Vegetables,59.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944
FDN56,5.46,Regular,0.107223632,Fruits and Vegetables,144.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,3323.0078
FDR56,15.5,Regular,0.101335811,Fruits and Vegetables,196.58,OUT017,2007,Medium,Tier 2,Supermarket Type1,3350.3056
FDX40,12.85,Low Fat,0.098993139,Frozen Foods,39.32,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
FDB34,15.25,Low Fat,0.026760329,Snack Foods,86.02,OUT017,2007,Medium,Tier 2,Supermarket Type1,2006.0554
FDY47,8.6,Regular,0.054594957,Breads,130.53,OUT045,2002,Medium,Tier 2,Supermarket Type1,1298.31
DRB01,7.39,Low Fat,0.082170947,Soft Drinks,190.95,OUT013,1987,High,Tier 3,Supermarket Type1,2466.789
FDR51,9.04,Regular,0.173821519,Meat,151.47,OUT045,2002,Medium,Tier 2,Supermarket Type1,2407.5328
FDR48,11.65,Low Fat,0.131708682,Baking Goods,152.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1518.024
FDZ25,15.7,Regular,0.027594064,Canned,171.18,OUT013,1987,High,Tier 3,Supermarket Type1,1867.569
FDJ04,18,Low Fat,0.12470444,Frozen Foods,120.31,OUT045,2002,Medium,Tier 2,Supermarket Type1,2725.7852
NCG07,13.38,Low Fat,0.052247806,Household,190.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,4554.072
FDB52,17.75,Low Fat,0.030559583,Dairy,257.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,3835.008
FDH14,17.1,Regular,0.046903482,Canned,142.08,OUT045,2002,Medium,Tier 2,Supermarket Type1,2528.7084
NCY17,18.2,Low Fat,0.163096139,Health and Hygiene,43.01,OUT046,1997,Small,Tier 1,Supermarket Type1,758.3462
FDX31,20.35,Regular,0,Fruits and Vegetables,234.5,OUT045,2002,Medium,Tier 2,Supermarket Type1,1402.1748
FDN12,15.6,Low Fat,0.081103929,Baking Goods,112.35,OUT046,1997,Small,Tier 1,Supermarket Type1,1006.6896
FDG56,13.3,Regular,0.071743629,Fruits and Vegetables,59.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,918.804
FDP23,6.71,Low Fat,0.035731825,Breads,218.32,OUT018,2009,Medium,Tier 3,Supermarket Type2,5660.6316
FDC47,15,Low Fat,0.119131749,Snack Foods,226.97,OUT045,2002,Medium,Tier 2,Supermarket Type1,6851.082
FDW25,12.31,Low Fat,0.037217847,Canned,86.82,OUT027,1985,Medium,Tier 3,Supermarket Type3,1448.7808
NCR42,9.11,Low Fat,0.038559926,Household,33.89,OUT045,2002,Medium,Tier 2,Supermarket Type1,99.87
DRO59,11.8,Low Fat,0.054238448,Hard Drinks,75.4,OUT049,1999,Medium,Tier 1,Supermarket Type1,986.7156
FDT60,12,Low Fat,0.075856062,Baking Goods,124.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.7432
FDE32,20.7,Low Fat,0.048957533,Fruits and Vegetables,37.85,OUT018,2009,Medium,Tier 3,Supermarket Type2,265.6542
FDF21,10.3,Regular,0.059160135,Fruits and Vegetables,191.55,OUT017,2007,Medium,Tier 2,Supermarket Type1,6641.355
FDX04,19.6,Regular,0.041536962,Frozen Foods,46.04,OUT013,1987,High,Tier 3,Supermarket Type1,527.3136
FDC22,6.89,Regular,0,Snack Foods,193.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,2510.066
FDD39,16.7,Low Fat,0.070297175,Dairy,216.39,OUT045,2002,Medium,Tier 2,Supermarket Type1,3678.545
DRC36,13,Regular,0.044984874,Soft Drinks,175.01,OUT046,1997,Small,Tier 1,Supermarket Type1,1926.1594
DRE01,10.1,Low Fat,0.167155198,Soft Drinks,241.75,OUT046,1997,Small,Tier 1,Supermarket Type1,5331.7264
FDP37,15.6,Low Fat,0.142986863,Breakfast,130.4,OUT013,1987,High,Tier 3,Supermarket Type1,2826.9868
DRI01,7.97,Low Fat,0,Soft Drinks,173.74,OUT045,2002,Medium,Tier 2,Supermarket Type1,2759.0752
NCE19,13.38,Low Fat,0.162856593,Household,54.6,OUT019,1985,Small,Tier 1,Grocery Store,218.3824
NCS30,5.95,Low Fat,0,Household,128.97,OUT017,2007,Medium,Tier 2,Supermarket Type1,1808.3128
FDX31,20.35,Regular,0.014885998,Fruits and Vegetables,234.5,OUT018,2009,Medium,Tier 3,Supermarket Type2,3271.7412
FDH47,13.5,Regular,0.128816212,Starchy Foods,96.41,OUT046,1997,Small,Tier 1,Supermarket Type1,2527.3768
FDY11,6.71,Regular,0.029680868,Baking Goods,65.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.8846
FDU23,12.15,Low Fat,0.036360676,Breads,166.02,OUT010,1998,Medium,Tier 3,Grocery Store,330.2368
FDO19,17.7,Regular,0.016582833,Fruits and Vegetables,50.5,OUT013,1987,High,Tier 3,Supermarket Type1,1458.102
FDP08,20.5,Regular,0.112316501,Fruits and Vegetables,193.95,OUT013,1987,High,Tier 3,Supermarket Type1,4456.1994
FDX19,19.1,Low Fat,0.096653315,Fruits and Vegetables,235.2,OUT013,1987,High,Tier 3,Supermarket Type1,4673.916
FDJ28,12.3,Low Fat,0.021984639,Frozen Foods,191.22,OUT017,2007,Medium,Tier 2,Supermarket Type1,1924.162
FDE29,8.91,Low Fat,0.143351652,Frozen Foods,62.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,302.939
FDC14,14.5,Regular,0.041482394,Canned,40.05,OUT017,2007,Medium,Tier 2,Supermarket Type1,209.727
FDV44,8.37,Regular,0.040069806,Fruits and Vegetables,190.72,OUT017,2007,Medium,Tier 2,Supermarket Type1,1904.188
NCF43,8.51,Low Fat,0.052239735,Household,141.95,OUT017,2007,Medium,Tier 2,Supermarket Type1,2004.058
NCY42,6.38,Low Fat,0.015149955,Household,144.05,OUT013,1987,High,Tier 3,Supermarket Type1,3149.234
NCZ06,13.38,Low Fat,0.09370568,Household,253.87,OUT027,1985,Medium,Tier 3,Supermarket Type3,3297.7074
FDB29,16.7,Regular,0.052401766,Frozen Foods,115.12,OUT035,2004,Small,Tier 2,Supermarket Type1,1488.7288
